fecha_mes,tpm_prom,tpm_cierre,ipc,imacec,tasa_desempleo,dolar_prom,dolar_cierre,libra_cobre_prom,libra_cobre_cierre
2010-03-01,0.5,0.5,0.303468392,75.714061392483,9.2275980636192,523.1626086956521,526.29,3.38511748162932,3.38511748162932
2010-04-01,0.5,0.5,0.922542942,77.836153679346,8.836054099283,520.6242857142857,520.99,3.51314070579697,3.51314070579697
2010-05-01,0.5,0.5,1.503038333,77.265079570532,9.0877307261896,533.2065,529.23,3.10155130182346,3.10155130182346
2010-06-01,0.7380952380952381,1.0,1.163940432,76.186444175657,8.6560640009262,536.6680952380952,543.09,2.9480631407058,2.9480631407058
2010-07-01,1.238095238095238,1.5,2.252296258,74.112635101111,8.5111787141127,531.7214285714285,522.36,3.05508935861381,3.05508935861381
2010-08-01,1.795454545454545,2.0,2.624253391,77.296542693899,8.4362750412026,509.3240909090909,499.26,3.30397804590402,3.30397804590402
2010-09-01,2.2,2.5,1.876405257,75.05015526522,8.1245686923359,493.933,485.23,3.49691554023406,3.49691554023406
2010-10-01,2.6375,2.75,1.983969033,80.061679388225,7.8146967084653,484.0415,491.76,3.76140796516375,3.76140796516375
2010-11-01,2.869047619047619,3.0,2.461339386,82.742487762095,7.2250504372039,482.3166666666667,486.39,3.84191690102513,3.84191690102513
2010-12-01,3.119047619047619,3.25,2.972868111,85.153296099552,7.2101288890971,474.7780952380953,468.37,4.14916991744534,4.14916991744534
2011-01-01,3.25,3.25,2.71926761,78.010367477195,7.4417617188178,489.4409523809524,483.32,4.33443708609272,4.33443708609272
2011-02-01,3.3375,3.5,2.667120057,74.279064630843,7.4427693646653,475.691,475.63,4.47591399800417,4.47591399800417
2011-03-01,3.717391304347826,4.0,3.365292526,84.796447395721,7.5481165580962,479.6521739130435,482.08,4.32307448063141,4.32307448063141
2011-04-01,4.3,4.5,3.217910593,82.417454723301,7.2111118602051,471.32,460.04,4.30157398167468,4.30157398167468
2011-05-01,4.795454545454546,5.0,3.2590622,82.970070411295,7.3047634518804,467.7286363636364,467.31,4.04928331670144,4.04928331670144
2011-06-01,5.130952380952381,5.25,3.433921646,80.371445138843,7.2122553970482,469.4119047619047,471.13,4.10298013245033,4.10298013245033
2011-07-01,5.25,5.25,2.904199243,77.225680203992,7.5533693014775,462.9371428571429,455.91,4.36325864102331,4.36325864102331
2011-08-01,5.25,5.25,3.172484307,80.76100654037,7.5146494707645,466.7904545454545,465.66,4.10110677673954,4.10110677673954
2011-09-01,5.25,5.25,3.272251786,78.670318350874,7.6263811757401,483.6938095238095,515.14,3.77158668239136,3.77158668239136
