actor,topico_modelo,peso_medio,peso_total,n_dominante,ranking
Enrique Marshall Rivera,tema_nmf_11,0.012693748169814457,6.131080366020383,5,14
Enrique Orellana Cifuentes,tema_nmf_05,0.3216670080304996,2.251669056213497,3,1
Enrique Orellana Cifuentes,tema_nmf_01,0.1793130315860618,1.2551912211024325,1,2
Enrique Orellana Cifuentes,tema_nmf_02,0.11991289853881257,0.839390289771688,2,3
Enrique Orellana Cifuentes,tema_nmf_10,0.08302915896634426,0.5812041127644099,1,4
Enrique Orellana Cifuentes,tema_nmf_07,0.07456309223983679,0.5219416456788575,0,5
Enrique Orellana Cifuentes,tema_nmf_03,0.06785821614810203,0.4750075130367142,0,6
Enrique Orellana Cifuentes,tema_nmf_09,0.042398000732281185,0.2967860051259683,0,7
Enrique Orellana Cifuentes,tema_nmf_08,0.02286105161995097,0.16002736133965678,0,8
Enrique Orellana Cifuentes,tema_nmf_12,0.021505493323805778,0.15053845326664045,0,9
Enrique Orellana Cifuentes,tema_nmf_04,0.017760378834158524,0.12432265183910966,0,10
Enrique Orellana Cifuentes,tema_nmf_11,0.016608479926851275,0.11625935948795893,0,11
Enrique Orellana Cifuentes,tema_nmf_13,0.013802344591360654,0.09661641213952459,0,12
Enrique Orellana Cifuentes,tema_nmf_06,0.011625796894546112,0.08138057826182278,0,13
Enrique Orellana Cifuentes,tema_nmf_14,0.007095048567388464,0.04966533997171925,0,14
Esteban Jadresic Marinovic,tema_nmf_04,0.19537661239705933,16.99776527854416,23,1
Esteban Jadresic Marinovic,tema_nmf_02,0.11566756937459947,10.063078535590154,10,2
Esteban Jadresic Marinovic,tema_nmf_03,0.1129550209966852,9.827086826711612,12,3
Esteban Jadresic Marinovic,tema_nmf_12,0.08120888313201352,7.065172832485176,6,4
Esteban Jadresic Marinovic,tema_nmf_09,0.07242988667312078,6.301400140561508,6,5
Esteban Jadresic Marinovic,tema_nmf_01,0.06764466363568995,5.885085736305026,3,6
Esteban Jadresic Marinovic,tema_nmf_08,0.06555625367159632,5.703394069428879,4,7
Esteban Jadresic Marinovic,tema_nmf_13,0.05928776978282377,5.158035971105668,8,8
Esteban Jadresic Marinovic,tema_nmf_10,0.0561958659732109,4.889040339669348,4,9
Esteban Jadresic Marinovic,tema_nmf_05,0.052271717361648616,4.54763941046343,4,10
Esteban Jadresic Marinovic,tema_nmf_14,0.04945351844447197,4.302456104669061,7,11
