anio,topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2008,debate,155.0,0.0,0.0,155.0,0.0,0.0,1.0,0.0,,0.0,0.0007295367880920085
2008,decision_tpm,36.0,13.0,2.0,21.0,0.3611111111111111,0.05555555555555555,0.5833333333333334,0.3055555555555556,0.7333333333333333,0.4166666666666667,0.17716346425249055
2008,escenario_internacional,185.0,4.0,1.0,180.0,0.021621621621621623,0.005405405405405406,0.972972972972973,0.016216216216216217,0.6,0.02702702702702703,0.011784047847492839
2008,inflacion,84.0,1.0,0.0,83.0,0.011904761904761904,0.0,0.9880952380952381,0.011904761904761904,1.0,0.011904761904761904,0.014292491301047964
2008,mercado_laboral,55.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,,0.0,0.002689723797673273
2008,mercados_financieros,137.0,3.0,1.0,133.0,0.021897810218978103,0.0072992700729927005,0.9708029197080292,0.014598540145985401,0.5,0.029197080291970802,0.00917964480357726
2008,opciones_tpm,38.0,2.0,0.0,36.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.05263157894736842,0.03927886351665783
2008,otros,15.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,,0.0,0.00441294497192822
2008,politica_fiscal,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,,0.0,0.002637431941533472
2008,riesgos,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.06434887736188802
2009,actividad_interna,110.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,,0.0,-0.011984573916893395
2009,acuerdo_comunicado,181.0,4.0,55.0,122.0,0.022099447513812154,0.30386740331491713,0.6740331491712708,-0.281767955801105,-0.864406779661017,0.3259668508287293,-0.18172522366908786
2009,apertura_cierre,13.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,,0.0,-0.0013895834751326607
2009,debate,212.0,0.0,2.0,210.0,0.0,0.009433962264150943,0.9905660377358491,-0.009433962264150943,-1.0,0.009433962264150943,-0.013843953916549244
