k,topico_local,terminos_top5,terminos_top20,prevalencia
6,k6_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes | interes politica | comunicado | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.11098043029536578
18,k18_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | latina | america latina | monetaria estados | crecimiento estados | recuperacion | america zona | tasas | destaca,0.03805227677055628
18,k18_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | division politica | politica financiera | financiera | financieras | solicita division | solicita | exposicion division | presentacion division,0.029617983161326314
18,k18_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | alza | monetaria 25 | tpm | subir | aumento | tpm 25 | tasa politica | 75 | alza 25 | aumento 25 | aumentar | base tasa,0.034279885415900824
18,k18_tema_06,trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | consumo | demanda interna | primer trimestre | inversion | desaceleracion | segundo trimestre | pib | menor | tercer | tercer trimestre | dinamismo | mayor | cuarto,0.12334561878734757
18,k18_tema_07,presentacion | macroeconomico | consultas | internacional | presentacion internacional,presentacion | macroeconomico | consultas | internacional | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | presentacion division | lamina | presentacion externo | destacados | macroeconomico consultas | interno | presentacion senalando | hechos destacados | macroeconomico presentacion,0.019336633577557386
18,k18_tema_08,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | america latina | latina | paises | monedas | china | europa | capitales | avanzadas | economias avanzadas | flujos | algunas | emergente | brasil | asia | particularmente,0.05036333639881939
18,k18_tema_09,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | incorporandose | 16 | da paso | paso | habiendo | 16 00 | informa ministro | 00 | asistira,0.022765845592863057
18,k18_tema_10,precio | petroleo | cobre | precio petroleo | precio cobre,precio | petroleo | cobre | precio petroleo | precio cobre | precios | caida | aumento | gasolina | commodities | alza | us | alimentos | caida precio | combustibles | precio gasolina | importante | wti | niveles | brent,0.06415680585035592
18,k18_tema_11,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | cambio nominal | peso | apreciado | depreciacion tipo | apreciacion tipo | depreciado | proyeccion | nivel | efectos | cambio apreciado | ultima,0.042470556114148725
18,k18_tema_12,plazo | tasas | corto | corto plazo | largo,plazo | tasas | corto | corto plazo | largo | largo plazo | tasas interes | interes | mediano | mediano plazo | interes largo | inflacion corto | mediano largo | bajas | anos | inflacion mediano | largas | tasas largas | tasas largo | niveles,0.04311766193734871
18,k18_tema_13,meses | ultimos | ultimos meses | proximos | proximos meses,meses | ultimos | ultimos meses | proximos | proximos meses | doce | doce meses | tres | algunos | tres meses | algunos meses | anteriores | seis | meses anteriores | varios | variacion | previos | anos | meses previos | dias,0.0622100699395698
18,k18_tema_14,mes | ultimo | ultimo mes | ipom | ultimo ipom,mes | ultimo | ultimo mes | ipom | ultimo ipom | registro | diciembre | septiembre | anterior | enero | pasado | variacion | mes anterior | marzo | noticias | mayo | mes septiembre | mes enero | mes diciembre | junio,0.07158829705319392
18,k18_tema_15,interes | tasa interes | anual | interes politica | acordo,interes | tasa interes | anual | interes politica | acordo | mensual politica | mensual | monetaria acordo | tasa | acordo mantener | mantener tasa | comunicado mensual | comunicado | politica monetaria | monetaria | monetaria 25 | politica | 25 anual | mantener | monetaria anual,0.02022225349248558
18,k18_tema_16,mantener | tasa | mantener tasa | nivel | tpm,mantener | tasa | mantener tasa | nivel | tpm | voto | tasa politica | voto mantener | mantener tpm | opcion | sesgo | expuesto | razon | vota | monetaria nivel | comunicado | tpm nivel | vota mantener | expuesto voto | decision,0.04646203621447934
18,k18_tema_17,mercado | laboral | mercado laboral | empleo | desempleo,mercado | laboral | mercado laboral | empleo | desempleo | salarios | tasa | tasa desempleo | cuenta | creacion | dinamismo | trabajo | asalariado | tasas | espera | creacion empleo | expectativas mercado | empleo asalariado | expectativas | sigue,0.062598252839414
18,k18_tema_18,mercados | financieros | economia | mercados financieros | condiciones,mercados | financieros | economia | mercados financieros | condiciones | internacional | financieras | externo | riesgo | precios | riesgos | condiciones financieras | mayor | internacionales | efectos | volatilidad | chilena | sin | economia chilena | incertidumbre,0.12360409537907789
