meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2007-07-12,2007-07-12,2007,64.0,11.0,0.0,53.0,0.171875,0.0,0.828125,0.171875,1.0,0.171875,0.11136406345781677
RPM-2007-08-09,2007-08-09,2007,65.0,14.0,0.0,51.0,0.2153846153846154,0.0,0.7846153846153846,0.2153846153846154,1.0,0.2153846153846154,0.10611532368451275
RPM-2007-09-13,2007-09-13,2007,88.0,9.0,0.0,79.0,0.10227272727272728,0.0,0.8977272727272727,0.10227272727272728,1.0,0.10227272727272728,0.07073607301545244
RPM-2007-10-11,2007-10-11,2007,71.0,3.0,0.0,68.0,0.04225352112676056,0.0,0.9577464788732394,0.04225352112676056,1.0,0.04225352112676056,0.04449693838628751
RPM-2007-11-13,2007-11-13,2007,76.0,5.0,0.0,71.0,0.06578947368421052,0.0,0.9342105263157895,0.06578947368421052,1.0,0.06578947368421052,0.03248609939781536
RPM-2007-12-13,2007-12-13,2007,80.0,9.0,0.0,71.0,0.1125,0.0,0.8875,0.1125,1.0,0.1125,0.08136162416144976
RPM-2008-01-10,2008-01-10,2008,49.0,12.0,0.0,37.0,0.24489795918367346,0.0,0.7551020408163265,0.24489795918367346,1.0,0.24489795918367346,0.16926532382965662
RPM-2008-02-07,2008-02-07,2008,68.0,6.0,0.0,62.0,0.08823529411764706,0.0,0.9117647058823529,0.08823529411764706,1.0,0.08823529411764706,0.05606819345744559
RPM-2008-03-13,2008-03-13,2008,110.0,8.0,0.0,102.0,0.07272727272727272,0.0,0.9272727272727272,0.07272727272727272,1.0,0.07272727272727272,0.04041266280898762
RPM-2008-04-10,2008-04-10,2008,43.0,1.0,0.0,42.0,0.023255813953488372,0.0,0.9767441860465116,0.023255813953488372,1.0,0.023255813953488372,0.03392423057421703
RPM-2008-05-08,2008-05-08,2008,95.0,2.0,0.0,93.0,0.021052631578947368,0.0,0.9789473684210527,0.021052631578947368,1.0,0.021052631578947368,0.016627064180396268
RPM-2008-06-10,2008-06-10,2008,107.0,9.0,0.0,98.0,0.08411214953271028,0.0,0.9158878504672897,0.08411214953271028,1.0,0.08411214953271028,0.0597931245102936
RPM-2008-07-10,2008-07-10,2008,97.0,10.0,0.0,87.0,0.10309278350515463,0.0,0.8969072164948454,0.10309278350515463,1.0,0.10309278350515463,0.06687675178473
RPM-2008-08-14,2008-08-14,2008,99.0,7.0,0.0,92.0,0.0707070707070707,0.0,0.9292929292929293,0.0707070707070707,1.0,0.0707070707070707,0.05134868523530171
RPM-2008-09-04,2008-09-04,2008,74.0,10.0,0.0,64.0,0.13513513513513514,0.0,0.8648648648648649,0.13513513513513514,1.0,0.13513513513513514,0.09503806694521941
RPM-2008-10-09,2008-10-09,2008,45.0,6.0,1.0,38.0,0.13333333333333333,0.022222222222222223,0.8444444444444444,0.1111111111111111,0.7142857142857143,0.15555555555555556,0.041180945572486895
RPM-2008-11-13,2008-11-13,2008,60.0,1.0,1.0,58.0,0.016666666666666666,0.016666666666666666,0.9666666666666667,0.0,0.0,0.03333333333333333,-0.002504372787479972
RPM-2008-12-11,2008-12-11,2008,110.0,1.0,8.0,101.0,0.00909090909090909,0.07272727272727272,0.9181818181818182,-0.06363636363636363,-0.7777777777777778,0.08181818181818182,-0.03623033204029645
RPM-2009-01-08,2009-01-08,2009,67.0,1.0,7.0,59.0,0.014925373134328358,0.1044776119402985,0.8805970149253731,-0.08955223880597014,-0.75,0.11940298507462686,-0.054245814615923454
RPM-2009-02-12,2009-02-12,2009,102.0,0.0,15.0,87.0,0.0,0.14705882352941177,0.8529411764705882,-0.14705882352941177,-1.0,0.14705882352941177,-0.10642429511248527
RPM-2009-03-12,2009-03-12,2009,81.0,0.0,8.0,73.0,0.0,0.09876543209876543,0.9012345679012346,-0.09876543209876543,-1.0,0.09876543209876543,-0.08027344912715649
RPM-2009-04-09,2009-04-09,2009,147.0,0.0,10.0,137.0,0.0,0.06802721088435375,0.9319727891156463,-0.06802721088435375,-1.0,0.06802721088435375,-0.053436598240185124
RPM-2009-05-07,2009-05-07,2009,91.0,0.0,9.0,82.0,0.0,0.0989010989010989,0.9010989010989011,-0.0989010989010989,-1.0,0.0989010989010989,-0.04937813791190813
RPM-2009-06-16,2009-06-16,2009,99.0,0.0,9.0,90.0,0.0,0.09090909090909091,0.9090909090909091,-0.09090909090909091,-1.0,0.09090909090909091,-0.040630162996985394
RPM-2009-07-09,2009-07-09,2009,115.0,0.0,11.0,104.0,0.0,0.09565217391304348,0.9043478260869565,-0.09565217391304348,-1.0,0.09565217391304348,-0.0756783175878716
RPM-2009-08-13,2009-08-13,2009,79.0,0.0,4.0,75.0,0.0,0.05063291139240506,0.9493670886075949,-0.05063291139240506,-1.0,0.05063291139240506,-0.04264054535344406
RPM-2009-09-08,2009-09-08,2009,70.0,0.0,5.0,65.0,0.0,0.07142857142857142,0.9285714285714286,-0.07142857142857142,-1.0,0.07142857142857142,-0.04776487100119199
RPM-2009-10-13,2009-10-13,2009,82.0,2.0,4.0,76.0,0.024390243902439025,0.04878048780487805,0.926829268292683,-0.024390243902439025,-0.3333333333333333,0.07317073170731707,-0.03384941209509869
RPM-2009-11-12,2009-11-12,2009,81.0,0.0,6.0,75.0,0.0,0.07407407407407407,0.9259259259259259,-0.07407407407407407,-1.0,0.07407407407407407,-0.023339376903539866
RPM-2009-12-15,2009-12-15,2009,79.0,1.0,3.0,75.0,0.012658227848101266,0.0379746835443038,0.9493670886075949,-0.02531645569620253,-0.5,0.05063291139240506,-0.019129403916866843
RPM-2010-01-14,2010-01-14,2010,69.0,0.0,3.0,66.0,0.0,0.043478260869565216,0.9565217391304348,-0.043478260869565216,-1.0,0.043478260869565216,-0.038236618739971265
